ID,i_node,j_node,length
C0,N0,N1,1.51
C1,N1,N2,1.51
C2,N3,N4,1.51
C3,N4,N5,1.51
C4,N6,N7,1.51
C5,N7,N8,1.51
C6,N9,N10,1.51
C7,N10,N11,1.51
C8,N12,N13,1.51
C9,N13,N14,1.51
C10,N15,N16,1.51
C11,N16,N17,1.51
C12,N18,N19,1.51
C13,N19,N20,1.51
C14,N21,N22,3.02
C15,N22,N23,3.02
C16,N24,N25,3.02
C17,N25,N26,3.02
C18,N27,N28,3.02
C19,N28,N29,3.02
C20,N30,N31,3.02
C21,N31,N32,3.02
C22,N33,N34,3.02
C23,N34,N35,3.02
C24,N36,N37,2.227
C25,N37,N38,2.227
C26,N39,N40,1.52
C27,N40,N41,1.52
C28,N42,N43,2.227
C29,N43,N44,2.227
C30,N45,N46,1.52
C31,N46,N47,1.52
C32,N48,N49,1.52
C33,N49,N50,1.52
C34,N51,N52,1.52
C35,N52,N53,1.52
C36,N54,N55,1.51
C37,N55,N56,1.51
C38,N57,N58,3.02
C39,N58,N59,3.02
