ID,i_node,j_node
C0,N0,N1
C1,N2,N3
C2,N4,N5
C3,N6,N7
C4,N8,N9
C5,N10,N11
C6,N12,N13
C7,N14,N15
C8,N16,N17
C9,N18,N19
C10,N20,N21
C11,N22,N23
C12,N24,N25
C13,N26,N27
C14,N28,N29
C15,N30,N31
C16,N32,N33
C17,N34,N35
C18,N36,N37
C19,N38,N39
C20,N40,N41
C21,N42,N43
C22,N44,N45
C23,N46,N47
C24,N48,N49
C25,N50,N51
C26,N52,N53
C27,N54,N55
C28,N56,N57
C29,N58,N59
C30,N60,N61
C31,N62,N63
C32,N64,N65
C33,N66,N67
C34,N68,N69
C35,N70,N71
C36,N72,N73
C37,N74,N75
C38,N76,N77
C39,N78,N79
C40,N80,N81
C41,N82,N83
C42,N84,N85
C43,N86,N87
C44,N88,N89
C45,N90,N91
C46,N92,N93
C47,N94,N95
C48,N96,N97
C49,N98,N99
C50,N100,N101
C51,N102,N103
C52,N104,N105
C53,N106,N107
C54,N108,N109
C55,N110,N111
C56,N112,N113
C57,N114,N115
