X,Y,Z_Base,Z_Top,Width,Depth,Floor_Level
-7.17073392868042,6.841569900512695,0.0,3.0,0.3,0.3,1
-7.17073392868042,6.841569900512695,3.0,5.8,0.3,0.3,2
-7.17073392868042,11.352361679077148,0.0,3.0,0.3,0.3,1
-7.17073392868042,11.352361679077148,3.0,5.8,0.3,0.3,2
-2.951369881629944,6.841569900512695,0.0,3.0,0.3,0.3,1
-2.951369881629944,6.841569900512695,3.0,5.8,0.3,0.3,2
-2.951369881629944,11.352361679077148,0.0,3.0,0.3,0.3,1
-2.951369881629944,11.352361679077148,3.0,5.8,0.3,0.3,2
1.2679941654205322,6.841569900512695,0.0,3.0,0.3,0.3,1
1.2679941654205322,6.841569900512695,3.0,5.8,0.3,0.3,2
1.2679941654205322,11.352361679077148,0.0,3.0,0.3,0.3,1
1.2679941654205322,11.352361679077148,3.0,5.8,0.3,0.3,2
0.0,0.0,0.0,3.0,0.3,0.3,1
0.0,0.0,3.0,5.8,0.3,0.3,2
0.0,3.4207849502563477,0.0,3.0,0.3,0.3,1
0.0,3.4207849502563477,3.0,5.8,0.3,0.3,2
3.2604687213897705,0.0,0.0,3.0,0.3,0.3,1
3.2604687213897705,0.0,3.0,5.8,0.3,0.3,2
3.2604687213897705,3.4207849502563477,0.0,3.0,0.3,0.3,1
3.2604687213897705,3.4207849502563477,3.0,5.8,0.3,0.3,2
3.2604687213897705,6.841569900512695,0.0,3.0,0.3,0.3,1
3.2604687213897705,6.841569900512695,3.0,5.8,0.3,0.3,2
8.351167678833008,3.831695556640625,0.0,3.0,0.3,0.3,1
8.351167678833008,3.831695556640625,3.0,5.8,0.3,0.3,2
8.351167678833008,7.252480506896973,0.0,3.0,0.3,0.3,1
8.351167678833008,7.252480506896973,3.0,5.8,0.3,0.3,2
8.351167678833008,10.67326545715332,0.0,3.0,0.3,0.3,1
8.351167678833008,10.67326545715332,3.0,5.8,0.3,0.3,2
11.611636400222778,3.831695556640625,0.0,3.0,0.3,0.3,1
11.611636400222778,3.831695556640625,3.0,5.8,0.3,0.3,2
11.611636400222778,7.252480506896973,0.0,3.0,0.3,0.3,1
11.611636400222778,7.252480506896973,3.0,5.8,0.3,0.3,2
11.611636400222778,10.67326545715332,0.0,3.0,0.3,0.3,1
11.611636400222778,10.67326545715332,3.0,5.8,0.3,0.3,2
11.611636400222778,1.3467525243759155,0.0,3.0,0.3,0.3,1
11.611636400222778,1.3467525243759155,3.0,5.8,0.3,0.3,2
8.351167678833008,5.641730785369873,0.0,3.0,0.3,0.3,1
8.351167678833008,5.641730785369873,3.0,5.8,0.3,0.3,2
3.2604687213897705,8.650237083435059,0.0,3.0,0.3,0.3,1
3.2604687213897705,8.650237083435059,3.0,5.8,0.3,0.3,2
6.520937442779541,-1.66175377368927,0.0,1.5,0.3,0.3,1
6.520937442779541,-1.66175377368927,1.5,2.8,0.3,0.3,2
6.520937442779541,1.3467525243759155,0.0,3.0,0.3,0.3,1
6.520937442779541,1.3467525243759155,3.0,5.8,0.3,0.3,2
11.611636400222778,-1.66175377368927,0.0,1.5,0.3,0.3,1
11.611636400222778,-1.66175377368927,1.5,2.8,0.3,0.3,2
-2.560492515563965,1.9951889514923096,0.0,3.0,0.3,0.3,1
-2.560492515563965,1.9951889514923096,3.0,5.8,0.3,0.3,2
0.0,4.971345901489258,0.0,3.0,0.3,0.3,1
0.0,4.971345901489258,3.0,5.8,0.3,0.3,2
-2.560492515563965,4.971345901489258,0.0,3.0,0.3,0.3,1
-2.560492515563965,4.971345901489258,3.0,5.8,0.3,0.3,2
3.2604687213897705,10.458905220031738,0.0,3.0,0.3,0.3,1
3.2604687213897705,10.458905220031738,3.0,5.8,0.3,0.3,2
14.037456035614014,1.3467525243759155,0.0,2.2241449761049727,0.3,0.3,1
14.037456035614014,1.3467525243759155,2.2241449761049727,4.248289952209945,0.3,0.3,2
14.037456035614014,3.831695556640625,0.0,2.2241449761049727,0.3,0.3,1
14.037456035614014,3.831695556640625,2.2241449761049727,4.248289952209945,0.3,0.3,2
